message,language,expected_entity_type,expected_code,expected_entity_value
His job title is a cybersecurity analyst ,EN,_JOB,200, cybersecurity analyst
He is a firefighter rescuing people from burning buildings ,EN,_JOB,200, firefighter
Her occupation is a registered nurse ,EN,_JOB,200, registered nurse
He works as a systems administrator ,EN,_JOB,200, systems administrator
She is a fashion designer creating couture dresses ,EN,_JOB,200, fashion designer
He is a pilot flying cargo helicopters ,EN,_JOB,200, pilot
Her job involves being an event planner ,EN,_JOB,200, event planner
He is a professional athlete playing baseball ,EN,_JOB,200, professional athlete
She is a journalist covering sports news ,EN,_JOB,200, journalist
His profession is a baker ,EN,_JOB,200, baker
She works as a wildlife biologist ,EN,_JOB,200, wildlife biologist
He is a photographer specializing in wildlife photography ,EN,_JOB,200, photographer
He is a pilot flying air ambulances ,EN,_JOB,200, pilot
She works as a voice actor ,EN,_JOB,200, voice actor
His occupation is a hairstylist ,EN,_JOB,200, hairstylist
She is a teacher at a high school ,EN,_JOB,200, teacher
He is a lawyer specializing in family law ,EN,_JOB,200, lawyer
She works as a wedding planner ,EN,_JOB,200, wedding planner
His job title is a network administrator ,EN,_JOB,200, network administrator
He is a firefighter inspecting fire safety measures ,EN,_JOB,200, firefighter
Her profession is a physical therapist ,EN,_JOB,200, physical therapist
He works as a software quality assurance analyst ,EN,_JOB,200, software quality assurance analyst
He is a pilot flying hot air balloons ,EN,_JOB,200, pilot
Her job involves being a research scientist ,EN,_JOB,200, research scientist
He is a professional athlete playing hockey ,EN,_JOB,200, professional athlete
She is a journalist covering entertainment news ,EN,_JOB,200, journalist
His occupation is a chef ,EN,_JOB,200, chef
She works as a speech pathologist ,EN,_JOB,200, speech pathologist
He is a wildlife photographer capturing images of exotic animals ,EN,_JOB,200, wildlife photographer
Her job is a community outreach coordinator ,EN,_JOB,200, community outreach coordinator
She works as a wedding photographer ,EN,_JOB,200, wedding photographer
His profession is a locksmith ,EN,_JOB,200, locksmith
She is a teacher at a language institute ,EN,_JOB,200, teacher
He is a lawyer specializing in environmental law ,EN,_JOB,200, lawyer
She works as a fashion stylist for celebrities ,EN,_JOB,200, fashion stylist
His job title is a database administrator ,EN,_JOB,200, database administrator
She is a police officer patrolling the beach ,EN,_JOB,200, police officer
He is a firefighter conducting fire safety training ,EN,_JOB,200, firefighter
Her occupation is a speech therapist ,EN,_JOB,200, speech therapist
She is a fashion illustrator creating stunning sketches ,EN,_JOB,200, fashion illustrator
He is a pilot flying military aircraft ,EN,_JOB,200, pilot
Her job involves being a program manager ,EN,_JOB,200, program manager
He is a professional athlete playing cricket ,EN,_JOB,200, professional athlete
She is a journalist investigating corruption ,EN,_JOB,200, journalist
His profession is a barista ,EN,_JOB,200, barista
She works as a social media manager ,EN,_JOB,200, social media manager
He is a software programmer ,EN,_JOB,200, software programmer
Her job is a wedding planner ,EN,_JOB,200, wedding planner
He is a sales representative for a pharmaceutical company ,EN,_JOB,200, sales representative
She works as a dog trainer ,EN,_JOB,200, dog trainer
His profession is a surgeon ,EN,_JOB,200, surgeon
She is a marine biologist studying ocean ecosystems ,EN,_JOB,200, marine biologist
He is a delivery driver for a courier service ,EN,_JOB,200, delivery driver
She works as a data scientist ,EN,_JOB,200, data scientist
His job title is a financial planner ,EN,_JOB,200, financial planner
She is a professional soccer player ,EN,_JOB,200, professional soccer player
He is a construction worker ,EN,_JOB,200, construction worker
Her occupation is a personal fitness trainer ,EN,_JOB,200, personal fitness trainer
He works as a business analyst ,EN,_JOB,200, business analyst
She is a music teacher at a conservatory ,EN,_JOB,200, music teacher
He is a CEO of a tech startup ,EN,_JOB,200, CEO
Her job involves being a social media manager ,EN,_JOB,200, social media manager
He is a professional musician playing the violin ,EN,_JOB,200, professional musician
She is a fashion designer creating sustainable clothing ,EN,_JOB,200, fashion designer
She works as a sports coach ,EN,_JOB,200, sports coach
He is a landscape architect designing parks and gardens ,EN,_JOB,200, landscape architect
Her job is a professional photographer ,EN,_JOB,200, professional photographer
He is a sales manager for a telecommunications company ,EN,_JOB,200, sales manager
She is a teacher at a performing arts school ,EN,_JOB,200, teacher
He is a lawyer specializing in personal injury law ,EN,_JOB,200, lawyer
She works as a fashion buyer for a retail chain ,EN,_JOB,200, fashion buyer
His job title is a software tester ,EN,_JOB,200, software tester
He is a firefighter training for search and rescue missions ,EN,_JOB,200, firefighter
He works as a systems engineer ,EN,_JOB,200, systems engineer
She is a journalist covering health and wellness topics ,EN,_JOB,200, journalist
He is a wildlife photographer capturing images of endangered species ,EN,_JOB,200, wildlife photographer
Her job is a social media strategist ,EN,_JOB,200, social media strategist
He is a pilot flying commercial airliners ,EN,_JOB,200, pilot
She works as a travel writer ,EN,_JOB,200, travel writer
His profession is an automotive mechanic ,EN,_JOB,200, automotive mechanic
She is a teacher at a Montessori school ,EN,_JOB,200, teacher
She works as a fashion stylist for photo shoots ,EN,_JOB,200, fashion stylist
She is a police detective investigating major crimes ,EN,_JOB,200, police detective
He is a firefighter conducting fire safety inspections ,EN,_JOB,200, firefighter
Her occupation is a physical therapist ,EN,_JOB,200, physical therapist
He works as a software engineer ,EN,_JOB,200, software engineer
Her job involves being a product manager ,EN,_JOB,200, product manager
She is a journalist covering political news ,EN,_JOB,200, journalist
His profession is a carpenter ,EN,_JOB,200, carpenter
She works as a marketing manager ,EN,_JOB,200, marketing manager
He is a photographer specializing in portrait photography ,EN,_JOB,200, photographer
She works as a freelance writer ,EN,_JOB,200, freelance writer
His occupation is an electrician ,EN,_JOB,200, electrician
He is a lawyer specializing in criminal defense ,EN,_JOB,200, lawyer
She works as a fashion blogger ,EN,_JOB,200, fashion blogger
She is a police officer patrolling the city streets ,EN,_JOB,200, police officer
He works as a software developer ,EN,_JOB,200, software developer
She is a fashion illustrator creating fashion sketches ,EN,_JOB,200, fashion illustrator
He is a pilot flying commercial planes ,EN,_JOB,200, pilot
She is a journalist reporting on current events ,EN,_JOB,200, journalist
His occupation is a plumber ,EN,_JOB,200, plumber
She works as a public relations specialist ,EN,_JOB,200, public relations specialist
Her job is a community manager ,EN,_JOB,200, community manager
He is a pilot flying military helicopters ,EN,_JOB,200, pilot
She works as a fashion stylist for editorial shoots ,EN,_JOB,200, fashion stylist
She is a teacher at a preschool ,EN,_JOB,200, teacher
He is a lawyer specializing in civil rights law ,EN,_JOB,200, lawyer
She is a police officer investigating cybercrimes ,EN,_JOB,200, police officer
Her occupation is a physical education teacher ,EN,_JOB,200, physical education teacher
He works as a UX designer ,EN,_JOB,200, UX designer
Her job involves being a program coordinator ,EN,_JOB,200, program coordinator
She is a journalist covering international affairs ,EN,_JOB,200, journalist
His profession is a chef ,EN,_JOB,200, chef
She works as a social media strategist ,EN,_JOB,200, social media strategist
He is a graphic designer creating visually appealing designs ,EN,_JOB,200, graphic designer
Her job is a talent agent representing actors and musicians ,EN,_JOB,200, talent agent
He is a sales engineer for a technology company ,EN,_JOB,200, sales engineer
She works as a wildlife conservation biologist ,EN,_JOB,200, wildlife conservation biologist
His profession is a financial analyst ,EN,_JOB,200, financial analyst
She is a software tester finding and reporting bugs ,EN,_JOB,200, software tester
He is a delivery person for an online grocery service ,EN,_JOB,200, delivery person
She works as a user experience researcher ,EN,_JOB,200, user experience researcher
His job title is a project manager ,EN,_JOB,200, project manager
She is a professional ballet dancer ,EN,_JOB,200, professional ballet dancer
He is a plumber fixing and installing pipes ,EN,_JOB,200, plumber
Her occupation is a life coach ,EN,_JOB,200, life coach
He works as a data analyst ,EN,_JOB,200, data analyst
She is a vocal coach training singers ,EN,_JOB,200, vocal coach
He is a CEO of a fashion company ,EN,_JOB,200, CEO
He is a professional drummer performing in bands ,EN,_JOB,200, professional drummer
She is a fashion stylist for photo shoots and fashion shows ,EN,_JOB,200, fashion stylist
His profession is a veterinarian ,EN,_JOB,200, veterinarian
She works as a nutritionist ,EN,_JOB,200, nutritionist
He is a civil engineer designing infrastructure projects ,EN,_JOB,200, civil engineer
He is a sales representative for a software company ,EN,_JOB,200, sales representative
She works as a wildlife photographer ,EN,_JOB,200, wildlife photographer
His occupation is a physical therapist ,EN,_JOB,200, physical therapist
She is a teacher at an international school ,EN,_JOB,200, teacher
She works as a fashion merchandiser ,EN,_JOB,200, fashion merchandiser
She is a police officer in a narcotics unit ,EN,_JOB,200, police officer
Her job involves being a marketing coordinator ,EN,_JOB,200, marketing coordinator
She is a journalist covering technology news ,EN,_JOB,200, journalist
She works as a speech therapist ,EN,_JOB,200, speech therapist
She works as a travel blogger ,EN,_JOB,200, travel blogger
She works as a fashion designer ,EN,_JOB,200, fashion designer
His job title is a cybersecurity specialist ,EN,_JOB,200, cybersecurity specialist
She works as a public relations manager ,EN,_JOB,200, public relations manager
He is a wildlife biologist studying animal behavior ,EN,_JOB,200, wildlife biologist
He is a pilot flying commercial flights ,EN,_JOB,200, pilot
She works as a fashion photographer ,EN,_JOB,200, fashion photographer
His occupation is a barber ,EN,_JOB,200, barber
His job title is a network engineer ,EN,_JOB,200, network engineer
She is a police officer patrolling the city ,EN,_JOB,200, police officer
He is a firefighter conducting fire safety drills ,EN,_JOB,200, firefighter
Her profession is a physical therapist assistant ,EN,_JOB,200, physical therapist assistant
He works as a web developer ,EN,_JOB,200, web developer
Her job involves being a marketing strategist ,EN,_JOB,200, marketing strategist
She is a journalist covering fashion and beauty ,EN,_JOB,200, journalist
His occupation is a baker ,EN,_JOB,200, baker
She works as a social media coordinator ,EN,_JOB,200, social media coordinator
Her job is an event planner ,EN,_JOB,200, event planner
She works as a fashion stylist for editorials ,EN,_JOB,200, fashion stylist
His profession is an architect ,EN,_JOB,200, architect
She is a teacher at a special education school ,EN,_JOB,200, teacher
He is a lawyer specializing in employment law ,EN,_JOB,200, lawyer
His job title is a software architect ,EN,_JOB,200, software architect
She is a police officer assigned to community policing ,EN,_JOB,200, police officer
He is a firefighter providing emergency medical services ,EN,_JOB,200, firefighter
She is a fashion designer creating haute couture designs ,EN,_JOB,200, fashion designer
Her job involves being a program director ,EN,_JOB,200, program director
She is a journalist covering sports events ,EN,_JOB,200, journalist
He is a software engineer specializing in artificial intelligence ,EN,_JOB,200, software engineer
He works as a financial advisor helping clients with investment strategies ,EN,_JOB,200, financial advisor
His profession is an investment banker ,EN,_JOB,200, investment banker
She is a quality assurance analyst testing software applications ,EN,_JOB,200, quality assurance analyst
He is a courier delivering packages and documents ,EN,_JOB,200, courier
She works as a user interface designer ,EN,_JOB,200, user interface designer
She is a professional figure skater ,EN,_JOB,200, professional figure skater
He is a carpenter specializing in custom furniture design ,EN,_JOB,200, carpenter
Her occupation is a career counselor ,EN,_JOB,200, career counselor
He works as a business intelligence analyst ,EN,_JOB,200, business intelligence analyst
She is a vocal artist recording songs for movies and commercials ,EN,_JOB,200, vocal artist
He is a CEO of a pharmaceutical company ,EN,_JOB,200, CEO
He is a professional guitarist performing in bands ,EN,_JOB,200, professional guitarist
She is a fashion buyer for a luxury department store ,EN,_JOB,200, fashion buyer
She works as a personal trainer ,EN,_JOB,200, personal trainer
He is a landscape designer creating beautiful outdoor spaces ,EN,_JOB,200, landscape designer
Her job is a digital marketing specialist ,EN,_JOB,200, digital marketing specialist
He is a sales manager for a software development company ,EN,_JOB,200, sales manager
She works as a wildlife biologist studying animal populations ,EN,_JOB,200, wildlife biologist
His occupation is a massage therapist ,EN,_JOB,200, massage therapist
She works as a fashion consultant ,EN,_JOB,200, fashion consultant
She is a police officer in a traffic enforcement unit ,EN,_JOB,200, police officer
He is a firefighter training for hazardous material incidents ,EN,_JOB,200, firefighter
Her profession is a pediatric nurse ,EN,_JOB,200, pediatric nurse
She is a fashion stylist for editorial photo shoots ,EN,_JOB,200, fashion stylist
Her job involves being a marketing analyst ,EN,_JOB,200, marketing analyst
He is a professional athlete playing football ,EN,_JOB,200, professional athlete
She is a journalist reporting on entertainment news ,EN,_JOB,200, journalist
His occupation is a baker specializing in artisan breads ,EN,_JOB,200, baker
He is a wildlife photographer capturing images of rare species ,EN,_JOB,200, wildlife photographer
Her job is a social media manager for a fashion brand ,EN,_JOB,200, social media manager
His profession is an electrician ,EN,_JOB,200, electrician
She is a teacher at a music school ,EN,_JOB,200, teacher
He is a lawyer specializing in corporate litigation ,EN,_JOB,200, lawyer
She works as a fashion editor for a magazine ,EN,_JOB,200, fashion editor
Her occupation is a physical education instructor ,EN,_JOB,200, physical education instructor
He is a pilot flying cargo aircraft ,EN,_JOB,200, pilot
He is a data engineer building data pipelines ,EN,_JOB,200, data engineer
He works as a marketing strategist developing brand campaigns ,EN,_JOB,200, marketing strategist
She is a marine biologist studying marine ecosystems ,EN,_JOB,200, marine biologist
His profession is a financial planner ,EN,_JOB,200, financial planner
She is a software quality assurance engineer ,EN,_JOB,200, software quality assurance engineer
He is a bike courier delivering packages in the city ,EN,_JOB,200, bike courier
She works as a user experience designer ,EN,_JOB,200, user experience designer
His job title is a human resources manager ,EN,_JOB,200, human resources manager
He is an interior designer creating functional and aesthetic spaces ,EN,_JOB,200, interior designer
Her occupation is a life coach and motivational speaker ,EN,_JOB,200, life coach
He works as a business analyst analyzing market trends ,EN,_JOB,200, business analyst
She is a voiceover artist lending her voice to commercials and animations ,EN,_JOB,200, voiceover artist
Her job involves being a social media strategist ,EN,_JOB,200, social media strategist
He is a professional violinist performing in orchestras ,EN,_JOB,200, professional violinist
She is a fashion stylist for red carpet events ,EN,_JOB,200, fashion stylist
She works as a yoga instructor ,EN,_JOB,200, yoga instructor
He is a landscape architect designing outdoor spaces ,EN,_JOB,200, landscape architect
He is a sales executive for a pharmaceutical company ,EN,_JOB,200, sales executive
His occupation is a personal trainer ,EN,_JOB,200, personal trainer
She is a teacher at a middle school ,EN,_JOB,200, teacher
His job title is a systems administrator ,EN,_JOB,200, systems administrator
Her profession is a nurse practitioner ,EN,_JOB,200, nurse practitioner
He is a pilot flying private planes ,EN,_JOB,200, pilot
He is a wildlife photographer capturing breathtaking images of nature ,EN,_JOB,200, wildlife photographer
Her job is a social media strategist for a fashion brand ,EN,_JOB,200, social media strategist
She works as a fashion stylist for music videos ,EN,_JOB,200, fashion stylist
She is a police detective investigating cybercrimes ,EN,_JOB,200, police detective
He is a data scientist conducting data analysis ,EN,_JOB,200, data scientist
Her job is a fashion buyer for a luxury boutique ,EN,_JOB,200, fashion buyer
He works as a digital marketer optimizing online campaigns ,EN,_JOB,200, digital marketer
She is a marine ecologist studying coral reef ecosystems ,EN,_JOB,200, marine ecologist
His profession is an investment analyst ,EN,_JOB,200, investment analyst
She is a software developer specializing in mobile applications ,EN,_JOB,200, software developer
He is a food delivery driver for a popular restaurant ,EN,_JOB,200, food delivery driver
She works as a graphic designer creating visual identities ,EN,_JOB,200, graphic designer
She is a professional golfer competing in tournaments ,EN,_JOB,200, professional golfer
Her occupation is a nutritionist helping clients improve their diets ,EN,_JOB,200, nutritionist
He works as a market researcher analyzing consumer behavior ,EN,_JOB,200, market researcher
She is a voice actor providing voices for animated characters ,EN,_JOB,200, voice actor
He is a CEO of a fashion startup ,EN,_JOB,200, CEO
Her job involves being a social media coordinator ,EN,_JOB,200, social media coordinator
He is a professional drummer performing with a band ,EN,_JOB,200, professional drummer
She is a fashion blogger and stylist ,EN,_JOB,200, fashion blogger
She works as a fitness instructor leading exercise classes ,EN,_JOB,200, fitness instructor
He is a landscape painter capturing natural landscapes on canvas ,EN,_JOB,200, landscape painter
His occupation is a personal chef ,EN,_JOB,200, personal chef
He is a lawyer specializing in intellectual property rights ,EN,_JOB,200, lawyer
He is a firefighter training for hazardous materials response ,EN,_JOB,200, firefighter
Her profession is a nurse midwife ,EN,_JOB,200, nurse midwife
She is a fashion influencer and model ,EN,_JOB,200, fashion influencer
He is a pilot flying commercial helicopters ,EN,_JOB,200, pilot
She is a journalist covering environmental issues ,EN,_JOB,200, journalist
His occupation is a tattoo artist ,EN,_JOB,200, tattoo artist
She works as a public relations manager for a tech company ,EN,_JOB,200, public relations manager
He is a wildlife biologist studying animal conservation ,EN,_JOB,200, wildlife biologist
Her job is a social media strategist for a beauty brand ,EN,_JOB,200, social media strategist
His profession is a mechanic specializing in luxury cars ,EN,_JOB,200, mechanic
She is a teacher at a dance studio ,EN,_JOB,200, teacher
He is a lawyer specializing in immigration and nationality law ,EN,_JOB,200, lawyer
She works as a fashion editor for an online magazine ,EN,_JOB,200, fashion editor
Her occupation is a speech pathologist ,EN,_JOB,200, speech pathologist
He works as a UI designer creating intuitive user interfaces ,EN,_JOB,200, UI designer
She is a fashion designer creating sustainable fashion collections ,EN,_JOB,200, fashion designer
He is a pilot flying cargo jets ,EN,_JOB,200, pilot
His profession is a chef de cuisine at a renowned restaurant ,EN,_JOB,200, chef de cuisine
She works as a social media strategist for a nonprofit organization ,EN,_JOB,200, social media strategist
He is a wildlife photographer capturing rare animal species ,EN,_JOB,200, wildlife photographer
Her job is an event coordinator ,EN,_JOB,200, event coordinator
He is a pilot flying military transport planes ,EN,_JOB,200, pilot
She works as a fashion stylist for music artists ,EN,_JOB,200, fashion stylist
His occupation is a locksmith ,EN,_JOB,200, locksmith
She works as a fashion blogger and influencer ,EN,_JOB,200, fashion blogger
She is a police officer assigned to a canine unit ,EN,_JOB,200, police officer
Her profession is a physical therapy assistant ,EN,_JOB,200, physical therapy assistant
She is a journalist covering technology and innovation ,EN,_JOB,200, journalist
His occupation is a florist ,EN,_JOB,200, florist
She works as a social media strategist for a fashion brand ,EN,_JOB,200, social media strategist
He is a wildlife conservation researcher ,EN,_JOB,200, wildlife conservation researcher
Her job is a talent agent ,EN,_JOB,200, talent agent
He is a pilot flying military fighter jets ,EN,_JOB,200, pilot
She works as a fashion stylist for magazine editorials ,EN,_JOB,200, fashion stylist
His profession is a civil engineer ,EN,_JOB,200, civil engineer
She works as a fashion blogger and content creator ,EN,_JOB,200, fashion blogger
His job title is a systems analyst ,EN,_JOB,200, systems analyst
She is a police officer assigned to a traffic division ,EN,_JOB,200, police officer
He is a firefighter performing search and rescue operations ,EN,_JOB,200, firefighter
She is a fashion designer creating sustainable and ethical clothing ,EN,_JOB,200, fashion designer
She is a journalist covering fashion and lifestyle topics ,EN,_JOB,200, journalist
She works as a social media manager for a beauty brand ,EN,_JOB,200, social media manager
He is a data analyst analyzing market trends ,EN,_JOB,200, data analyst
Her job is a fashion stylist for celebrity red carpet events ,EN,_JOB,200, fashion stylist
He works as a business consultant advising companies on growth strategies ,EN,_JOB,200, business consultant
She is a marine researcher studying coral bleaching ,EN,_JOB,200, marine researcher
His profession is a financial advisor ,EN,_JOB,200, financial advisor
She is a software engineer developing mobile applications ,EN,_JOB,200, software engineer
He is a delivery driver for an online grocery service ,EN,_JOB,200, delivery driver
She works as a UI/UX designer creating intuitive user interfaces ,EN,_JOB,200, UI/UX designer
His job title is a human resources coordinator ,EN,_JOB,200, human resources coordinator
She is a professional dancer performing in a renowned ballet company ,EN,_JOB,200, professional dancer
He is an urban planner designing sustainable cities ,EN,_JOB,200, urban planner
Her occupation is a career counselor helping individuals find their ideal jobs ,EN,_JOB,200, career counselor
He works as a marketing manager overseeing advertising campaigns ,EN,_JOB,200, marketing manager
She is a voice coach training singers for performances ,EN,_JOB,200, voice coach
He is a CEO of a multinational corporation ,EN,_JOB,200, CEO
He is a professional guitarist playing in a rock band ,EN,_JOB,200, professional guitarist
His profession is a pharmacist specializing in clinical pharmacy ,EN,_JOB,200, pharmacist
She works as a personal trainer helping clients achieve their fitness goals ,EN,_JOB,200, personal trainer
Her job is a content strategist for a digital marketing agency ,EN,_JOB,200, content strategist
He is a sales manager for a technology company ,EN,_JOB,200, sales manager
She works as a zoology researcher studying animal behavior ,EN,_JOB,200, zoology researcher
His occupation is a financial analyst ,EN,_JOB,200, financial analyst
She works as a fashion photographer for magazine editorials ,EN,_JOB,200, fashion photographer
She is a police officer in a community outreach program ,EN,_JOB,200, police officer
He is a firefighter conducting fire safety training for schools ,EN,_JOB,200, firefighter
He works as a backend developer ,EN,_JOB,200, backend developer
He is a pilot flying passenger planes ,EN,_JOB,200, pilot
His occupation is a hairstylist specializing in bridal hair ,EN,_JOB,200, hairstylist
She works as a social media strategist for a fitness brand ,EN,_JOB,200, social media strategist
Her job is a social media manager for a travel agency ,EN,_JOB,200, social media manager
He is a pilot flying private jets for celebrities ,EN,_JOB,200, pilot
She works as a travel blogger and photographer ,EN,_JOB,200, travel blogger
She is a teacher at a culinary school ,EN,_JOB,200, teacher
She works as a fashion stylist for runway shows ,EN,_JOB,200, fashion stylist
She is a police detective solving complex criminal cases ,EN,_JOB,200, police detective
He is a firefighter providing fire safety education to the community ,EN,_JOB,200, firefighter
She is a fashion designer creating sustainable and inclusive clothing ,EN,_JOB,200, fashion designer
He is a pilot flying private helicopters ,EN,_JOB,200, pilot
His profession is a barista at a specialty coffee shop ,EN,_JOB,200, barista
He is a wildlife photographer documenting endangered species ,EN,_JOB,200, wildlife photographer
Her job is an event organizer ,EN,_JOB,200, event organizer
He is a pilot flying military transport aircraft ,EN,_JOB,200, pilot
His occupation is a carpenter specializing in custom furniture ,EN,_JOB,200, carpenter
She works as a fashion blogger and YouTuber ,EN,_JOB,200, fashion blogger
His job title is a software engineer ,EN,_JOB,200, software engineer
She is a police officer assigned to a detective unit ,EN,_JOB,200, police officer
Her profession is a physical therapist aide ,EN,_JOB,200, physical therapist aide
He works as a data engineer ,EN,_JOB,200, data engineer
She is a fashion stylist for magazine photo shoots ,EN,_JOB,200, fashion stylist
Her job involves being a market researcher ,EN,_JOB,200, market researcher
His occupation is a florist specializing in wedding arrangements ,EN,_JOB,200, florist
She works as a social media strategist for a tech startup ,EN,_JOB,200, social media strategist
He is a wildlife rehabilitator ,EN,_JOB,200, wildlife rehabilitator
He is a pilot flying military transport helicopters ,EN,_JOB,200, pilot
She works as a fashion stylist for music festivals ,EN,_JOB,200, fashion stylist
His profession is a civil engineer specializing in structural design ,EN,_JOB,200, civil engineer
She is a teacher at a yoga studio ,EN,_JOB,200, teacher
She works as a fashion blogger and fashion consultant ,EN,_JOB,200, fashion blogger
She is a police officer assigned to a narcotics division ,EN,_JOB,200, police officer
He is a firefighter performing water rescues ,EN,_JOB,200, firefighter
Her occupation is a physical therapist assistant ,EN,_JOB,200, physical therapist assistant
She is a fashion designer creating sustainable swimwear ,EN,_JOB,200, fashion designer
She is a journalist covering fashion trends ,EN,_JOB,200, journalist
His profession is a baker specializing in artisan bread ,EN,_JOB,200, baker
She works as a social media manager for a beauty influencer ,EN,_JOB,200, social media manager
He is a market researcher analyzing consumer behavior ,EN,_JOB,200, market researcher
Her job is a fashion buyer selecting merchandise for a retail store ,EN,_JOB,200, fashion buyer
He works as a project manager overseeing construction projects ,EN,_JOB,200, project manager
His profession is a stockbroker ,EN,_JOB,200, stockbroker
She is a graphic designer creating visual identities for brands ,EN,_JOB,200, graphic designer
He is a truck driver delivering goods across the country ,EN,_JOB,200, truck driver
She works as a product manager for a software company ,EN,_JOB,200, product manager
His job title is a logistics coordinator ,EN,_JOB,200, logistics coordinator
She is a professional ballet dancer performing in a ballet company ,EN,_JOB,200, professional ballet dancer
Her occupation is a life coach helping individuals achieve personal goals ,EN,_JOB,200, life coach
He works as a financial analyst evaluating investment opportunities ,EN,_JOB,200, financial analyst
He is a CFO of a multinational corporation ,EN,_JOB,200, CFO
Her job involves being a social media content creator ,EN,_JOB,200, social media content creator
He is a professional drummer playing in a jazz band ,EN,_JOB,200, professional drummer
She is a food critic writing restaurant reviews ,EN,_JOB,200, food critic
His profession is a veterinarian specializing in exotic animals ,EN,_JOB,200, veterinarian
She works as a yoga instructor teaching classes and workshops ,EN,_JOB,200, yoga instructor
He is a landscape architect designing public parks and gardens ,EN,_JOB,200, landscape architect
Her job is a digital marketer managing online advertising campaigns ,EN,_JOB,200, digital marketer
She works as a marine conservationist protecting marine wildlife ,EN,_JOB,200, marine conservationist
His occupation is a data entry clerk ,EN,_JOB,200, data entry clerk
She is a teacher at an art school ,EN,_JOB,200, teacher
She works as a fashion illustrator creating fashion illustrations ,EN,_JOB,200, fashion illustrator
She is a police officer in a community policing unit ,EN,_JOB,200, police officer
She is a fashion blogger and style influencer ,EN,_JOB,200, fashion blogger
Her job involves being a market analyst ,EN,_JOB,200, market analyst
His occupation is a landscape designer ,EN,_JOB,200, landscape designer
She works as a social media strategist for a travel brand ,EN,_JOB,200, social media strategist
He is a wildlife biologist studying animal populations ,EN,_JOB,200, wildlife biologist
Her job is a talent manager for actors and actresses ,EN,_JOB,200, talent manager
She works as a travel writer exploring different destinations ,EN,_JOB,200, travel writer
She works as a fashion stylist for red carpet events ,EN,_JOB,200, fashion stylist
She is a police officer in a canine unit ,EN,_JOB,200, police officer
Her occupation is a occupational therapist ,EN,_JOB,200, occupational therapist
She is a fashion designer creating bridal gowns ,EN,_JOB,200, fashion designer
His profession is a chef specializing in French cuisine ,EN,_JOB,200, chef
She works as a social media manager for a wellness brand ,EN,_JOB,200, social media manager
He is a wildlife filmmaker documenting animal behavior ,EN,_JOB,200, wildlife filmmaker
Her job is a casting director for a film production company ,EN,_JOB,200, casting director
She works as a fashion stylist for editorial photo shoots ,EN,_JOB,200, fashion stylist
His occupation is a plumber specializing in residential plumbing ,EN,_JOB,200, plumber
She is a teacher at a dance academy ,EN,_JOB,200, teacher
She works as a fashion blogger and style consultant ,EN,_JOB,200, fashion blogger
She is a police officer assigned to a traffic unit ,EN,_JOB,200, police officer
Her profession is a speech therapist ,EN,_JOB,200, speech therapist
He works as a UI designer ,EN,_JOB,200, UI designer
She is a fashion stylist for music videos and concerts ,EN,_JOB,200, fashion stylist
His occupation is a florist specializing in event floral arrangements ,EN,_JOB,200, florist
He is a wildlife conservation photographer ,EN,_JOB,200, wildlife conservation photographer
Her job is a casting agent for a talent agency ,EN,_JOB,200, casting agent
He is a pilot flying cargo planes for a logistics company ,EN,_JOB,200, pilot
She works as a fashion stylist for music concerts ,EN,_JOB,200, fashion stylist
His profession is a mechanical engineer specializing in robotics ,EN,_JOB,200, mechanical engineer
She is a teacher at a fitness studio ,EN,_JOB,200, teacher
She works as a fashion blogger and personal stylist ,EN,_JOB,200, fashion blogger
She is a police officer assigned to a community relations unit ,EN,_JOB,200, police officer
He is a firefighter conducting fire safety workshops for schools ,EN,_JOB,200, firefighter
Her occupation is a dental hygienist ,EN,_JOB,200, dental hygienist
He works as a UX researcher ,EN,_JOB,200, UX researcher
She is a fashion designer creating sustainable clothing lines ,EN,_JOB,200, fashion designer
He is a pilot flying private jets for business executives ,EN,_JOB,200, pilot
Her job involves being an event coordinator ,EN,_JOB,200, event coordinator
He is a professional athlete playing rugby ,EN,_JOB,200, professional athlete
She is a journalist covering lifestyle and culture topics ,EN,_JOB,200, journalist
His profession is a tattoo artist ,EN,_JOB,200, tattoo artist
She works as a social media manager for a fashion influencer ,EN,_JOB,200, social media manager
He is a market analyst conducting market research ,EN,_JOB,200, market analyst
Her job is a fashion stylist for editorial photo shoots ,EN,_JOB,200, fashion stylist
He works as a software engineer developing mobile applications ,EN,_JOB,200, software engineer
She is a marine biologist studying coral reef ecosystems ,EN,_JOB,200, marine biologist
She is a UX/UI designer creating intuitive user interfaces ,EN,_JOB,200, UX/UI designer
He is a truck mechanic repairing and maintaining commercial vehicles ,EN,_JOB,200, truck mechanic
She works as a project coordinator for a nonprofit organization ,EN,_JOB,200, project coordinator
His job title is a supply chain manager ,EN,_JOB,200, supply chain manager
She is a professional tennis player competing in international tournaments ,EN,_JOB,200, professional tennis player
He is an interior designer creating functional and stylish spaces ,EN,_JOB,200, interior designer
Her occupation is a nutritionist helping clients achieve their health goals ,EN,_JOB,200, nutritionist
He works as a data analyst analyzing large datasets ,EN,_JOB,200, data analyst
She is a voice coach training aspiring singers ,EN,_JOB,200, voice coach
He is a professional cyclist competing in road races ,EN,_JOB,200, professional cyclist
She is a journalist covering political events ,EN,_JOB,200, journalist
